Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.00,5.00,1,,,,Costa Rica
300620 - Blood-grouping reagents,,5.00,5.00,1,,,,Costa Rica
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,5.00,5.00,2,,,,Costa Rica
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.00,5.00,1,,,,Costa Rica
300650 - First-aid boxes and kits,,5.00,5.00,1,,,,Costa Rica
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,2,,,,Costa Rica
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,5.00,5.00,1,,,,Costa Rica
300691 -- Appliances identifiable for ostomy use,,10.00,10.00,1,,,,Costa Rica
300692 -- Waste pharmaceuticals,,,,1,1,,,Costa Rica
,2015,,4.56,4.56,35,1,,,Costa Rica
300120 - Extracts of glands or other organs or of their secretions,,5.00,5.00,1,,,,Costa Rica
300190 - Other,,5.00,5.00,1,,,,Costa Rica
"300210 - Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes",,5.00,5.00,1,,,,Costa Rica
300220 - Vaccines for human medicine,,5.00,5.00,1,,,,Costa Rica
300230 - Vaccines for veterinary medicine,,5.00,5.00,1,,,,Costa Rica
300290 - Other,,5.00,5.00,1,,,,Costa Rica
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300320 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300331 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
300339 -- Other,,5.00,5.00,1,,,,Costa Rica
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,5.00,5.00,1,,,,Costa Rica
300390 - Other,,2.50,2.50,2,,,,Costa Rica
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300420 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300431 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
"300432 -- Containing corticosteroid hormones, their derivatives or structural analogues",,5.00,5.00,1,,,,Costa Rica
300439 -- Other,,5.00,5.00,1,,,,Costa Rica
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,5.00,5.00,1,,,,Costa Rica
300450 - Other medicaments containing vitamins or other products of heading 29.36,,5.00,5.00,1,,,,Costa Rica
300490 - Other,,2.50,2.50,2,,,,Costa Rica
300510 - Adhesive dressings and other articles having an adhesive layer,,5.00,5.00,1,,,,Costa Rica
300590 - Other,,5.00,5.00,1,,,,Costa Rica
"300610 - Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable",,5.00,5.00,1,,,,Costa Rica
300620 - Blood-grouping reagents,,5.00,5.00,1,,,,Costa Rica
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,5.00,5.00,2,,,,Costa Rica
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.00,5.00,1,,,,Costa Rica
300650 - First-aid boxes and kits,,5.00,5.00,1,,,,Costa Rica
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,2,,,,Costa Rica
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,5.00,5.00,1,,,,Costa Rica
300691 -- Appliances identifiable for ostomy use,,10.00,10.00,1,,,,Costa Rica
300692 -- Waste pharmaceuticals,,,,1,1,,,Costa Rica
,2009,,4.44,4.44,37,1,,,Costa Rica
"300110 - Glands and other organs, dried, whether or not powdered",,5.00,5.00,1,,,,Costa Rica
300120 - Extracts of glands or other organs or of their secretions,,5.00,5.00,1,,,,Costa Rica
300190 - Other,,5.00,5.00,1,,,,Costa Rica
"300210 - Antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes",,5.00,5.00,3,,,,Costa Rica
300220 - Vaccines for human medicine,,5.00,5.00,1,,,,Costa Rica
300230 - Vaccines for veterinary medicine,,5.00,5.00,1,,,,Costa Rica
300290 - Other,,5.00,5.00,1,,,,Costa Rica
"300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300320 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300331 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
300339 -- Other,,5.00,5.00,1,,,,Costa Rica
300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,,5.00,5.00,1,,,,Costa Rica
300390 - Other,,2.50,2.50,2,,,,Costa Rica
"300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,5.00,5.00,1,,,,Costa Rica
300420 - Containing other antibiotics,,5.00,5.00,1,,,,Costa Rica
300431 -- Containing insulin,,5.00,5.00,1,,,,Costa Rica
"300432 -- Containing corticosteroid hormones, their derivatives and structural analogues",,5.00,5.00,1,,,,Costa Rica
300439 -- Other,,5.00,5.00,1,,,,Costa Rica
"300440 - Containing alkaloids or derivatives thereof but not containing hormones, other products of heading 29.37 or antibiotics",,5.00,5.00,1,,,,Costa Rica
300450 - Other medicaments containing vitamins or other products of heading 29.36,,5.00,5.00,1,,,,Costa Rica
300490 - Other,,2.50,2.50,2,,,,Costa Rica
300510 - Adhesive dressings and other articles having an adhesive layer,,5.00,5.00,1,,,,Costa Rica
300590 - Other,,5.00,5.00,1,,,,Costa Rica
"300610 - Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics",,5.00,5.00,1,,,,Costa Rica
300620 - Blood-grouping reagents,,5.00,5.00,1,,,,Costa Rica
300630 - Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,,5.00,5.00,2,,,,Costa Rica
300640 - Dental cements and other dental fillings; bone reconstruction cements,,5.00,5.00,1,,,,Costa Rica
300650 - First- Aid boxes and kits,,5.00,5.00,1,,,,Costa Rica
"300660 - Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0.00,0.00,2,,,,Costa Rica
300670 - Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,5.00,5.00,1,,,,Costa Rica
300680 - Waste pharmaceuticals,,,,1,1,,,Costa Rica
