Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"2,880",,,2,2,,,United States of America
170114 -- Other cane sugar,"818,220",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"578,381",,,1,1,,,United States of America
170199 -- Other,"7,489,328",,,2,2,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","11,001,697",,,1,1,,,United States of America
170219 -- Other,"279,074",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,963,930",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","3,024,400",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","296,528",,,2,2,,,United States of America
170250 - Chemically pure fructose,"484,969",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","774,075",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","5,945,227",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"18,922,267",0.00,0.00,1,,,,United States of America
170390 - Other,"21,832",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,216,509",,,2,2,,,United States of America
170490 - Other,"31,271,338",13.40,13.40,10,9,,,United States of America
,2015,"73,799,176",6.84,6.84,44,39,,,United States of America
170112 -- Beet sugar,"5,061",,,2,2,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"3,617",,,2,2,,,United States of America
170114 -- Other cane sugar,"7,500",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"681,050",,,1,1,,,United States of America
170199 -- Other,"4,919,286",,,2,2,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,269,700",,,1,1,,,United States of America
170219 -- Other,"324,055",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,130,393",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","3,114,719",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","97,577",,,2,2,,,United States of America
170250 - Chemically pure fructose,"96,013",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","565,210",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","7,093,372",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"11,406,744",0.00,0.00,1,,,,United States of America
170390 - Other,"30,285",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,211,838",,,2,2,,,United States of America
170490 - Other,"33,842,756",13.40,13.40,10,9,,,United States of America
,2014,"74,452,948",6.84,6.84,44,39,,,United States of America
170112 -- Beet sugar,"59,313",,,2,2,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"7,548",,,2,2,,,United States of America
170114 -- Other cane sugar,"110,626",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"809,013",,,1,1,,,United States of America
170199 -- Other,"4,312,874",,,2,2,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","10,610,491",,,1,1,,,United States of America
170219 -- Other,"399,150",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,710,420",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,847,512",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","125,087",,,2,2,,,United States of America
170250 - Chemically pure fructose,"301,941",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","208,296",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,581,899",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"15,862,100",0.00,0.00,1,,,,United States of America
170390 - Other,"44,008",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,231,424",,,2,2,,,United States of America
170490 - Other,"30,231,247",13.40,13.40,10,9,,,United States of America
,2013,"82,658,284",6.84,6.84,44,39,,,United States of America
170112 -- Beet sugar,"12,922",,,2,2,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"6,348",,,2,2,,,United States of America
170114 -- Other cane sugar,"29,376",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"998,786",,,1,1,,,United States of America
170199 -- Other,"7,492,764",,,2,2,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","9,187,066",,,1,1,,,United States of America
170219 -- Other,"330,902",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,782,262",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,762,376",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","53,992",,,2,2,,,United States of America
170250 - Chemically pure fructose,"272,337",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","207,304",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,172,256",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"22,355,834",0.00,0.00,1,,,,United States of America
170390 - Other,"29,110",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,435,660",,,2,2,,,United States of America
170490 - Other,"30,528,989",13.40,13.40,10,9,,,United States of America
,2012,"73,841,329",6.84,6.84,44,39,,,United States of America
170112 -- Beet sugar,"4,254",,,2,2,,,United States of America
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"6,003",,,2,2,,,United States of America
170114 -- Other cane sugar,"83,544",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"907,120",,,1,1,,,United States of America
170199 -- Other,"6,960,338",,,2,2,,,United States of America
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","9,762,725",,,1,1,,,United States of America
170219 -- Other,"339,860",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,797,524",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,608,460",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","97,738",,,2,2,,,United States of America
170250 - Chemically pure fructose,"677,841",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","215,937",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","3,715,618",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"18,656,108",0.00,0.00,1,,,,United States of America
170390 - Other,"39,614",0.00,0.00,1,,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,217,490",,,2,2,,,United States of America
170490 - Other,"25,751,156",13.40,13.40,10,9,,,United States of America
,2011,"63,288,268",11.40,11.40,42,39,,,United States of America
170111 -- Cane sugar,"231,921",,,2,2,,,United States of America
170112 -- Beet sugar,"2,116",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"852,544",,,1,1,,,United States of America
170199 -- Other,"4,963,204",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","830,203",,,1,1,,,United States of America
170219 -- Other,"354,083",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"2,327,563",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","2,532,814",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","116,496",,,2,2,,,United States of America
170250 - Chemically pure fructose,"651,024",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","175,169",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","3,188,098",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"25,338,367",,,1,1,,,United States of America
170390 - Other,"38,364",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","1,262,655",,,2,2,,,United States of America
170490 - Other,"20,423,647",13.40,13.40,10,9,,,United States of America
,2010,"63,383,838",11.40,11.40,42,39,,,United States of America
170111 -- Cane sugar,"445,263",,,2,2,,,United States of America
170112 -- Beet sugar,239,,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"696,920",,,1,1,,,United States of America
170199 -- Other,"4,548,888",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","928,600",,,1,1,,,United States of America
170219 -- Other,"296,625",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,743,441",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","2,015,687",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","429,116",,,2,2,,,United States of America
170250 - Chemically pure fructose,"663,990",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","46,678",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","3,110,039",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"28,708,153",,,1,1,,,United States of America
170390 - Other,"83,493",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","2,230,212",,,2,2,,,United States of America
170490 - Other,"17,436,495",13.40,13.40,10,9,,,United States of America
,2009,"58,052,929",11.40,11.40,42,39,,,United States of America
170111 -- Cane sugar,"141,851",,,2,2,,,United States of America
170112 -- Beet sugar,"31,076",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"913,008",,,1,1,,,United States of America
170199 -- Other,"4,017,875",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","894,360",,,1,1,,,United States of America
170219 -- Other,"231,495",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,599,780",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","2,298,575",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","381,910",,,2,2,,,United States of America
170250 - Chemically pure fructose,"1,064,386",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","36,962",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","3,945,499",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"23,641,288",,,1,1,,,United States of America
170390 - Other,"50,673",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","3,369,572",,,2,2,,,United States of America
170490 - Other,"15,434,620",13.40,13.40,10,9,,,United States of America
,2008,"57,002,629",11.40,11.40,42,39,,,United States of America
170111 -- Cane sugar,"206,130",,,2,2,,,United States of America
170112 -- Beet sugar,146,,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"1,614,809",,,1,1,,,United States of America
170199 -- Other,"4,201,077",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,457,326",,,1,1,,,United States of America
170219 -- Other,"145,340",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,153,565",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,432,483",,,3,3,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","147,449",,,2,2,,,United States of America
170250 - Chemically pure fructose,"211,155",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","18,384",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","4,965,906",12.80,12.80,8,7,,,United States of America
170310 - Cane molasses,"14,797,261",,,1,1,,,United States of America
170390 - Other,"45,996",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","2,574,358",,,2,2,,,United States of America
170490 - Other,"20,031,245",13.40,13.40,10,9,,,United States of America
,2007,"69,897,474",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"505,482",,,2,2,,,United States of America
170112 -- Beet sugar,"14,692",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"830,304",,,1,1,,,United States of America
170199 -- Other,"3,357,026",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,094,957",,,1,1,,,United States of America
170219 -- Other,"245,141",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"874,338",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,633,376",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","89,973",,,2,2,,,United States of America
170250 - Chemically pure fructose,"902,831",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","60,179",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","4,777,261",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"21,361,353",,,1,1,,,United States of America
170390 - Other,"82,819",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","6,359,463",,,4,4,,,United States of America
170490 - Other,"23,708,280",13.40,13.40,10,9,,,United States of America
,2006,"67,484,280",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"115,704",,,2,2,,,United States of America
170112 -- Beet sugar,"9,128",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"836,606",,,1,1,,,United States of America
170199 -- Other,"3,243,566",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","1,336,348",,,1,1,,,United States of America
170219 -- Other,"1,942,275",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"590,458",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,496,010",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","187,562",,,2,2,,,United States of America
170250 - Chemically pure fructose,"2,722,191",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","44,536",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","5,698,817",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"19,616,904",,,1,1,,,United States of America
170390 - Other,"2,633,910",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","3,501,919",,,4,4,,,United States of America
170490 - Other,"23,508,347",13.40,13.40,10,9,,,United States of America
,2005,"47,109,409",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"169,670",,,2,2,,,United States of America
170112 -- Beet sugar,"25,691",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"758,901",,,1,1,,,United States of America
170199 -- Other,"1,952,590",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","1,020,510",,,1,1,,,United States of America
170219 -- Other,"1,164,602",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,018,756",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,591,005",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","145,286",,,2,2,,,United States of America
170250 - Chemically pure fructose,"2,761,839",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","31,115",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","4,045,091",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"12,980,415",,,1,1,,,United States of America
170390 - Other,"1,045,280",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","3,298,246",,,4,4,,,United States of America
170490 - Other,"15,100,411",13.40,13.40,10,9,,,United States of America
,2004,"55,110,390",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"214,809",,,2,2,,,United States of America
170112 -- Beet sugar,435,,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"587,208",,,1,1,,,United States of America
170199 -- Other,"2,342,712",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","500,322",,,1,1,,,United States of America
170219 -- Other,"1,475,776",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"835,665",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,538,829",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","166,981",,,2,2,,,United States of America
170250 - Chemically pure fructose,"3,538,038",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","97,746",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","2,731,120",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"23,610,682",,,1,1,,,United States of America
170390 - Other,"12,078",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","3,432,841",,,4,4,,,United States of America
170490 - Other,"14,025,149",13.40,13.40,10,9,,,United States of America
,2003,"64,678,134",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"304,960",,,2,2,,,United States of America
170112 -- Beet sugar,"6,957",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"700,269",,,1,1,,,United States of America
170199 -- Other,"2,304,413",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","935,502",,,1,1,,,United States of America
170219 -- Other,"854,146",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"1,303,866",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,636,281",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","85,157",,,2,2,,,United States of America
170250 - Chemically pure fructose,"3,746,195",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","92,781",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","2,504,522",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"20,944,778",,,1,1,,,United States of America
170390 - Other,"8,812",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","16,539,501",,,4,4,,,United States of America
170490 - Other,"12,709,993",13.40,13.40,10,9,,,United States of America
,2002,"60,058,657",11.40,11.40,47,44,,,United States of America
170111 -- Cane sugar,"372,786",,,2,2,,,United States of America
170112 -- Beet sugar,"20,221",,,2,2,,,United States of America
170191 -- Containing added flavouring or colouring matter,"595,846",,,1,1,,,United States of America
170199 -- Other,"2,226,357",,,2,2,,,United States of America
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","746,753",,,1,1,,,United States of America
170219 -- Other,"616,275",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"665,256",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,360,739",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","48,121",,,2,2,,,United States of America
170250 - Chemically pure fructose,"2,576,350",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","29,480",,,3,3,,,United States of America
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","2,356,647",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"26,909,160",,,1,1,,,United States of America
170390 - Other,"18,811",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","8,592,341",,,4,4,,,United States of America
170490 - Other,"12,923,514",13.40,13.40,10,9,,,United States of America
,2001,"40,875,338",11.40,11.40,47,44,,,United States of America
170111 - - Cane sugar,"470,350",,,2,2,,,United States of America
170112 - - Beet sugar,"12,653",,,2,2,,,United States of America
170191 - - Containing added flavouring or colouring matter,"498,836",,,1,1,,,United States of America
170199 - - Other,"1,523,283",,,2,2,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","587,893",,,1,1,,,United States of America
170219 - - Other,"593,678",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"683,406",8.00,8.00,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,662,380",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose","26,337",,,2,2,,,United States of America
170250 - Chemically pure fructose,"3,254,267",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose","16,862",,,3,3,,,United States of America
"170290 - Other, including invert sugar","1,611,865",12.80,12.80,9,8,,,United States of America
170310 - Cane molasses,"11,741,945",,,1,1,,,United States of America
170390 - Other,"4,003",,,1,1,,,United States of America
"170410 - Chewing gum, whether or not sugar-coated","2,040,270",,,4,4,,,United States of America
170490 - Other,"16,147,309",13.40,13.40,10,9,,,United States of America
,2000,"49,227,841",11.87,11.87,47,44,,,United States of America
170111 - - Cane sugar,"409,875",,,2,2,,,United States of America
170112 - - Beet sugar,,,,2,2,,,United States of America
170191 - - Containing added flavouring or colouring matter,"916,839",,,1,1,,,United States of America
170199 - - Other,"1,510,308",,,2,2,,,United States of America
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","443,876",,,1,1,,,United States of America
170219 - - Other,"307,835",,,1,1,,,United States of America
170220 - Maple sugar and maple syrup,"554,047",8.15,8.15,2,1,,,United States of America
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,229,022",,,5,5,,,United States of America
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose","162,639",,,2,2,,,United States of America
170250 - Chemically pure fructose,"8,127,786",,,1,1,,,United States of America
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose","57,667",,,3,3,,,United States of America
"170290 - Other, including invert sugar","1,392,079",13.40,13.40,9,8,,,United States of America
