Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
390730 - Epoxide resins,,10.00,10.00,2,,,,Yemen
390740 - Polycarbonates,,10.00,10.00,1,,,,Yemen
390750 - Alkyd resins,,10.00,10.00,1,,,,Yemen
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,Yemen
390769 - - Other,,10.00,10.00,3,,,,Yemen
390770 - Poly(lactic acid),,10.00,10.00,1,,,,Yemen
390791 - - Unsaturated,,10.00,10.00,6,,,,Yemen
390799 - - Other,,10.00,10.00,3,,,,Yemen
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Yemen
390890 - Other,,10.00,10.00,3,,,,Yemen
390910 - Urea resins; thiourea resins,,10.00,10.00,2,,,,Yemen
390920 - Melamine resins,,10.00,10.00,2,,,,Yemen
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,Yemen
390939 - - Other,,10.00,10.00,2,,,,Yemen
390940 - Phenolic resins,,10.00,10.00,7,,,,Yemen
390950 - Polyurethanes,,10.00,10.00,1,,,,Yemen
391000 Silicones in primary forms.,,10.00,10.00,3,,,,Yemen
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,2,,,,Yemen
391190 - Other,,10.00,10.00,2,,,,Yemen
391211 - - Non-plasticised,,10.00,10.00,5,,,,Yemen
391212 - - Plasticised,,10.00,10.00,4,,,,Yemen
391220 - Cellulose nitrates (including collodions),,10.00,10.00,4,,,,Yemen
391231 - - Carboxymethylcellulose and its salts,,10.00,10.00,1,,,,Yemen
391239 - - Other,,10.00,10.00,6,,,,Yemen
391290 - Other,,10.00,10.00,3,,,,Yemen
"391310 - Alginic acid, its salts and esters",,10.00,10.00,2,,,,Yemen
391390 - Other,,10.00,10.00,5,,,,Yemen
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,10.00,10.00,3,,,,Yemen
391510 - Of polymers of ethylene,,10.00,10.00,1,,,,Yemen
391520 - Of polymers of styrene,,10.00,10.00,1,,,,Yemen
391530 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Yemen
391590 - Of other plastics,,10.00,10.00,17,,,,Yemen
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Yemen
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Yemen
391690 - Of other plastics,,10.00,10.00,17,,,,Yemen
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Yemen
391721 - - Of polymers of ethylene,,10.00,10.00,2,,,,Yemen
391722 - - Of polymers of propylene,,10.00,10.00,1,,,,Yemen
391723 - - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Yemen
391729 - - Of other plastics,,10.00,10.00,6,,,,Yemen
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Yemen
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,10.00,3,,,,Yemen
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Yemen
391739 - - Other,,10.00,10.00,3,,,,Yemen
391740 - Fittings,,10.00,10.00,1,,,,Yemen
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Yemen
391890 - Of other plastics,,10.00,10.00,3,,,,Yemen
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Yemen
391990 - Other,,11.67,11.67,3,,,,Yemen
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Yemen
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Yemen
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Yemen
392043 - - Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Yemen
392049 - - Other,,10.00,10.00,1,,,,Yemen
392051 - - Of poly(methyl methacrylate),,10.00,10.00,6,,,,Yemen
392059 - - Other,,10.00,10.00,6,,,,Yemen
392061 - - Of polycarbonates,,10.00,10.00,3,,,,Yemen
392062 - - Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Yemen
392063 - - Of unsaturated polyesters,,10.00,10.00,3,,,,Yemen
392069 - - Of other polyesters,,10.00,10.00,12,,,,Yemen
392071 - - Of regenerated cellulose,,10.00,10.00,7,,,,Yemen
392073 - - Of cellulose acetate,,10.00,10.00,9,,,,Yemen
392079 - - Of other cellulose derivatives,,10.00,10.00,6,,,,Yemen
392091 - - Of poly(vinyl butyral),,10.00,10.00,3,,,,Yemen
392092 - - Of polyamides,,10.00,10.00,6,,,,Yemen
392093 - - Of amino-resins,,10.00,10.00,3,,,,Yemen
392094 - - Of phenolic resins,,10.00,10.00,3,,,,Yemen
392099 - - Of other plastics,,10.26,10.26,19,,,,Yemen
392111 - - Of polymers of styrene,,10.00,10.00,1,,,,Yemen
392112 - - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Yemen
392113 - - Of polyurethanes,,10.00,10.00,2,,,,Yemen
392114 - - Of regenerated cellulose,,10.00,10.00,1,,,,Yemen
392119 - - Of other plastics,,10.00,10.00,1,,,,Yemen
392190 - Other,,10.00,10.00,22,,,,Yemen
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Yemen
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Yemen
392290 - Other,,10.00,10.00,1,,,,Yemen
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Yemen
392321 - - Of polymers of ethylene,,10.00,10.00,1,,,,Yemen
392329 - - Of other plastics,,10.00,10.00,2,,,,Yemen
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Yemen
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Yemen
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Yemen
392390 - Other,,10.00,10.00,3,,,,Yemen
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Yemen
392490 - Other,,10.00,10.00,3,,,,Yemen
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Yemen
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Yemen
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Yemen
392590 - Other,,10.00,10.00,2,,,,Yemen
392610 - Office or school supplies,,10.00,10.00,4,,,,Yemen
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Yemen
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Yemen
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Yemen
392690 - Other,,10.63,10.63,16,,,,Yemen
,2017,,9.15,9.15,414,,,,Yemen
390110 - Polyethylene having a specific gravity of less than 0.94,,7.50,7.50,2,,,,Yemen
390120 - Polyethylene having a specific gravity of 0.94 or more,,7.50,7.50,1,,,,Yemen
390130 - Ethylene-vinyl acetate copolymers,,7.50,7.50,1,,,,Yemen
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Yemen
390190 - Other,,7.50,7.50,2,,,,Yemen
390210 - Polypropylene,,7.50,7.50,1,,,,Yemen
390220 - Polyisobutylene,,7.50,7.50,1,,,,Yemen
390230 - Propylene copolymers,,7.50,7.50,1,,,,Yemen
390290 - Other,,7.50,7.50,1,,,,Yemen
390311 - - Expansible,,7.50,7.50,1,,,,Yemen
390319 - - Other,,7.50,7.50,2,,,,Yemen
390320 - Styrene-acrylonitrile (SAN) copolymers,,7.50,7.50,1,,,,Yemen
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,7.50,7.50,1,,,,Yemen
390390 - Other,,7.50,7.50,3,,,,Yemen
"390410 - Poly(vinyl chloride), not mixed with any other substances",,7.50,7.50,2,,,,Yemen
390421 - - Non-plasticised,,7.50,7.50,2,,,,Yemen
390422 - - Plasticised,,7.50,7.50,2,,,,Yemen
390430 - Vinyl chloride-vinyl acetate copolymers,,7.50,7.50,2,,,,Yemen
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Yemen
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Yemen
390461 - - Polytetrafluoroethylene,,7.50,7.50,1,,,,Yemen
390469 - - Other,,7.50,7.50,2,,,,Yemen
390490 - Other,,7.50,7.50,1,,,,Yemen
390512 - - In aqueous dispersion,,7.50,7.50,3,,,,Yemen
390519 - - Other,,7.50,7.50,3,,,,Yemen
390521 - - In aqueous dispersion,,7.50,7.50,1,,,,Yemen
390529 - - Other,,7.50,7.50,1,,,,Yemen
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,7.50,1,,,,Yemen
390591 - - Copolymers,,7.50,7.50,1,,,,Yemen
390599 - - Other,,7.50,7.50,2,,,,Yemen
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Yemen
390690 - Other,,7.50,7.50,4,,,,Yemen
390710 - Polyacetals,,7.50,7.50,1,,,,Yemen
390720 - Other polyethers,,7.50,7.50,2,,,,Yemen
390730 - Epoxide resins,,7.50,7.50,2,,,,Yemen
390740 - Polycarbonates,,7.50,7.50,1,,,,Yemen
390750 - Alkyd resins,,7.50,7.50,1,,,,Yemen
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,Yemen
390769 - - Other,,10.00,10.00,3,,,,Yemen
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Yemen
390791 - - Unsaturated,,7.50,7.50,6,,,,Yemen
390799 - - Other,,7.50,7.50,3,,,,Yemen
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Yemen
390890 - Other,,10.00,10.00,3,,,,Yemen
390910 - Urea resins; thiourea resins,,7.50,7.50,2,,,,Yemen
390920 - Melamine resins,,7.50,7.50,2,,,,Yemen
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,Yemen
390939 - - Other,,10.00,10.00,2,,,,Yemen
390940 - Phenolic resins,,7.50,7.50,7,,,,Yemen
390950 - Polyurethanes,,7.50,7.50,1,,,,Yemen
391000 Silicones in primary forms.,,7.50,7.50,3,,,,Yemen
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,7.50,2,,,,Yemen
391190 - Other,,7.50,7.50,2,,,,Yemen
391211 - - Non-plasticised,,7.50,7.50,5,,,,Yemen
391212 - - Plasticised,,7.50,7.50,4,,,,Yemen
391220 - Cellulose nitrates (including collodions),,7.50,7.50,4,,,,Yemen
391231 - - Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Yemen
391239 - - Other,,7.50,7.50,6,,,,Yemen
391290 - Other,,7.50,7.50,3,,,,Yemen
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Yemen
391390 - Other,,7.50,7.50,5,,,,Yemen
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,7.50,3,,,,Yemen
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Yemen
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Yemen
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Yemen
391590 - Of other plastics,,7.50,7.50,17,,,,Yemen
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Yemen
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Yemen
391690 - Of other plastics,,10.00,10.00,17,,,,Yemen
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Yemen
391721 - - Of polymers of ethylene,,10.00,10.00,2,,,,Yemen
391722 - - Of polymers of propylene,,10.00,10.00,1,,,,Yemen
391723 - - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Yemen
391729 - - Of other plastics,,10.00,10.00,6,,,,Yemen
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Yemen
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,10.00,3,,,,Yemen
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Yemen
391739 - - Other,,10.00,10.00,3,,,,Yemen
391740 - Fittings,,10.00,10.00,1,,,,Yemen
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Yemen
391890 - Of other plastics,,10.00,10.00,3,,,,Yemen
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Yemen
391990 - Other,,10.00,10.00,3,,,,Yemen
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Yemen
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Yemen
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Yemen
392043 - - Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Yemen
392049 - - Other,,10.00,10.00,1,,,,Yemen
392051 - - Of poly(methyl methacrylate),,10.00,10.00,6,,,,Yemen
392059 - - Other,,10.00,10.00,6,,,,Yemen
392061 - - Of polycarbonates,,10.00,10.00,3,,,,Yemen
392062 - - Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Yemen
392063 - - Of unsaturated polyesters,,10.00,10.00,3,,,,Yemen
392069 - - Of other polyesters,,10.00,10.00,12,,,,Yemen
392071 - - Of regenerated cellulose,,10.00,10.00,7,,,,Yemen
392073 - - Of cellulose acetate,,10.00,10.00,9,,,,Yemen
392079 - - Of other cellulose derivatives,,10.00,10.00,6,,,,Yemen
392091 - - Of poly(vinyl butyral),,10.00,10.00,3,,,,Yemen
392092 - - Of polyamides,,10.00,10.00,6,,,,Yemen
392093 - - Of amino-resins,,10.00,10.00,3,,,,Yemen
392094 - - Of phenolic resins,,10.00,10.00,3,,,,Yemen
392099 - - Of other plastics,,10.00,10.00,19,,,,Yemen
392111 - - Of polymers of styrene,,10.00,10.00,1,,,,Yemen
392112 - - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Yemen
392113 - - Of polyurethanes,,10.00,10.00,2,,,,Yemen
392114 - - Of regenerated cellulose,,10.00,10.00,1,,,,Yemen
392119 - - Of other plastics,,10.00,10.00,1,,,,Yemen
392190 - Other,,10.00,10.00,22,,,,Yemen
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Yemen
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Yemen
392290 - Other,,10.00,10.00,1,,,,Yemen
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Yemen
392321 - - Of polymers of ethylene,,10.00,10.00,1,,,,Yemen
392329 - - Of other plastics,,10.00,10.00,2,,,,Yemen
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Yemen
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Yemen
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Yemen
392390 - Other,,10.00,10.00,3,,,,Yemen
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Yemen
392490 - Other,,10.00,10.00,3,,,,Yemen
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Yemen
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Yemen
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Yemen
392590 - Other,,10.00,10.00,2,,,,Yemen
392610 - Office or school supplies,,10.00,10.00,4,,,,Yemen
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Yemen
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Yemen
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Yemen
392690 - Other,,10.00,10.00,16,,,,Yemen
,2016,,9.11,2.16,411,,411,,Yemen
390110 - Polyethylene having a specific gravity of less than 0.94,,7.50,0.00,2,,2,,Yemen
390120 - Polyethylene having a specific gravity of 0.94 or more,,7.50,0.00,1,,1,,Yemen
390130 - Ethylene-vinyl acetate copolymers,,7.50,0.00,1,,1,,Yemen
390190 - Other,,7.50,0.00,2,,2,,Yemen
390210 - Polypropylene,,7.50,0.00,1,,1,,Yemen
390220 - Polyisobutylene,,7.50,0.00,1,,1,,Yemen
390230 - Propylene copolymers,,7.50,0.00,1,,1,,Yemen
390290 - Other,,7.50,0.00,1,,1,,Yemen
390311 -- Expansible,,7.50,0.00,1,,1,,Yemen
390319 -- Other,,7.50,0.00,2,,2,,Yemen
390320 - Styrene-acrylonitrile (SAN) copolymers,,7.50,0.00,1,,1,,Yemen
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,7.50,0.00,1,,1,,Yemen
390390 - Other,,7.50,0.00,3,,3,,Yemen
"390410 - Poly(vinyl chloride), not mixed with any other substances",,7.50,0.00,2,,2,,Yemen
390421 -- Non-plasticised,,7.50,0.00,2,,2,,Yemen
390422 -- Plasticised,,7.50,0.00,2,,2,,Yemen
390430 - Vinyl chloride-vinyl acetate copolymers,,7.50,0.00,2,,2,,Yemen
390440 - Other vinyl chloride copolymers,,7.50,0.00,1,,1,,Yemen
390450 - Vinylidene chloride polymers,,7.50,0.00,2,,2,,Yemen
390461 -- Polytetrafluoroethylene,,7.50,0.00,1,,1,,Yemen
390469 -- Other,,7.50,0.00,2,,2,,Yemen
390490 - Other,,7.50,0.00,1,,1,,Yemen
390512 -- In aqueous dispersion,,7.50,0.00,3,,3,,Yemen
390519 -- Other,,7.50,0.00,3,,3,,Yemen
390521 -- In aqueous dispersion,,7.50,0.00,1,,1,,Yemen
390529 -- Other,,7.50,0.00,1,,1,,Yemen
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,0.00,1,,1,,Yemen
390591 -- Copolymers,,7.50,0.00,1,,1,,Yemen
390599 -- Other,,7.50,0.00,2,,2,,Yemen
390610 - Poly(methyl methacrylate),,7.50,0.00,2,,2,,Yemen
390690 - Other,,7.50,0.00,4,,4,,Yemen
390710 - Polyacetals,,7.50,0.00,1,,1,,Yemen
390720 - Other polyethers,,7.50,0.00,2,,2,,Yemen
390730 - Epoxide resins,,7.50,0.00,2,,2,,Yemen
390740 - Polycarbonates,,7.50,0.00,1,,1,,Yemen
390750 - Alkyd resins,,7.50,0.00,1,,1,,Yemen
390760 - Poly(ethylene terephthalate),,7.50,0.00,3,,3,,Yemen
390770 - Poly(lactic acid),,7.50,0.00,1,,1,,Yemen
390791 -- Unsaturated,,7.50,0.00,6,,6,,Yemen
390799 -- Other,,7.50,0.00,3,,3,,Yemen
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,0.00,2,,2,,Yemen
390890 - Other,,10.00,0.00,3,,3,,Yemen
390910 - Urea resins; thiourea resins,,7.50,0.00,2,,2,,Yemen
390920 - Melamine resins,,7.50,0.00,2,,2,,Yemen
390930 - Other amino-resins,,7.50,0.00,2,,2,,Yemen
390940 - Phenolic resins,,7.50,0.00,7,,7,,Yemen
390950 - Polyurethanes,,7.50,0.00,1,,1,,Yemen
391000 Silicones in primary forms.,,7.50,0.00,3,,3,,Yemen
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,0.00,2,,2,,Yemen
391190 - Other,,7.50,0.00,2,,2,,Yemen
391211 -- Non-plasticised,,7.50,0.00,5,,5,,Yemen
391212 -- Plasticised,,7.50,0.00,4,,4,,Yemen
391220 - Cellulose nitrates (including collodions),,7.50,0.00,4,,4,,Yemen
391231 -- Carboxymethylcellulose and its salts,,7.50,0.00,1,,1,,Yemen
391239 -- Other,,7.50,0.00,6,,6,,Yemen
391290 - Other,,7.50,0.00,3,,3,,Yemen
"391310 - Alginic acid, its salts and esters",,7.50,0.00,2,,2,,Yemen
391390 - Other,,7.50,0.00,5,,5,,Yemen
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,0.00,3,,3,,Yemen
391510 - Of polymers of ethylene,,7.50,0.00,1,,1,,Yemen
391520 - Of polymers of styrene,,7.50,0.00,1,,1,,Yemen
391530 - Of polymers of vinyl chloride,,7.50,0.00,2,,2,,Yemen
391590 - Of other plastics,,7.50,3.75,17,,17,,Yemen
391610 - Of polymers of ethylene,,10.00,0.00,3,,3,,Yemen
391620 - Of polymers of vinyl chloride,,10.00,0.00,4,,4,,Yemen
391690 - Of other plastics,,10.00,0.00,17,,17,,Yemen
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,0.00,2,,2,,Yemen
391721 -- Of polymers of ethylene,,10.00,0.00,2,,2,,Yemen
391722 -- Of polymers of propylene,,10.00,0.00,1,,1,,Yemen
391723 -- Of polymers of vinyl chloride,,10.00,0.00,2,,2,,Yemen
391729 -- Of other plastics,,10.00,0.00,6,,6,,Yemen
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,4.00,1,,1,,Yemen
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,0.00,3,,3,,Yemen
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,0.00,1,,1,,Yemen
391739 -- Other,,10.00,0.00,3,,3,,Yemen
391740 - Fittings,,10.00,5.00,1,,1,,Yemen
391810 - Of polymers of vinyl chloride,,10.00,5.00,2,,2,,Yemen
391890 - Of other plastics,,10.00,5.00,3,,3,,Yemen
391910 - In rolls of a width not exceeding 20 cm,,10.00,5.00,1,,1,,Yemen
391990 - Other,,10.00,5.00,3,,3,,Yemen
392010 - Of polymers of ethylene,,10.00,5.00,6,,6,,Yemen
392020 - Of polymers of propylene,,10.00,5.00,3,,3,,Yemen
392030 - Of polymers of styrene,,10.00,5.00,3,,3,,Yemen
392043 -- Containing by weight not less than 6 % of plasticisers,,10.00,0.00,1,,1,,Yemen
392049 -- Other,,10.00,0.00,1,,1,,Yemen
392051 -- Of poly(methyl methacrylate),,10.00,5.00,6,,6,,Yemen
392059 -- Other,,10.00,5.00,6,,6,,Yemen
392061 -- Of polycarbonates,,10.00,0.00,3,,3,,Yemen
392062 -- Of poly(ethylene terephthalate),,10.00,0.00,3,,3,,Yemen
392063 -- Of unsaturated polyesters,,10.00,0.00,3,,3,,Yemen
392069 -- Of other polyesters,,10.00,9.00,12,,12,,Yemen
392071 -- Of regenerated cellulose,,10.00,0.00,7,,7,,Yemen
392073 -- Of cellulose acetate,,10.00,0.00,9,,9,,Yemen
392079 -- Of other cellulose derivatives,,10.00,0.00,6,,6,,Yemen
392091 -- Of poly(vinyl butyral),,10.00,0.00,3,,3,,Yemen
392092 -- Of polyamides,,10.00,0.00,6,,6,,Yemen
392093 -- Of amino-resins,,10.00,0.00,3,,3,,Yemen
392094 -- Of phenolic resins,,10.00,0.00,3,,3,,Yemen
392099 -- Of other plastics,,10.00,9.00,19,,19,,Yemen
392111 -- Of polymers of styrene,,10.00,5.00,1,,1,,Yemen
392112 -- Of polymers of vinyl chloride,,10.00,5.00,1,,1,,Yemen
392113 -- Of polyurethanes,,10.00,5.00,2,,2,,Yemen
392114 -- Of regenerated cellulose,,10.00,0.00,1,,1,,Yemen
392119 -- Of other plastics,,10.00,0.00,1,,1,,Yemen
392190 - Other,,10.00,5.00,22,,22,,Yemen
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,0.00,1,,1,,Yemen
392220 - Lavatory seats and covers,,10.00,0.00,1,,1,,Yemen
392290 - Other,,10.00,0.00,1,,1,,Yemen
"392310 - Boxes, cases, crates and similar articles",,10.00,5.00,5,,5,,Yemen
392321 -- Of polymers of ethylene,,10.00,5.00,1,,1,,Yemen
392329 -- Of other plastics,,10.00,5.00,2,,2,,Yemen
"392330 - Carboys, bottles, flasks and similar articles",,10.00,5.00,2,,2,,Yemen
"392340 - Spools, cops, bobbins and similar supports",,10.00,0.00,1,,1,,Yemen
"392350 - Stoppers, lids, caps and other closures",,10.00,5.00,2,,2,,Yemen
392390 - Other,,10.00,5.00,3,,3,,Yemen
392410 - Tableware and kitchenware,,10.00,0.00,2,,2,,Yemen
392490 - Other,,10.00,5.00,3,,3,,Yemen
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,0.00,1,,1,,Yemen
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,0.00,1,,1,,Yemen
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,0.00,1,,1,,Yemen
392590 - Other,,10.00,0.00,2,,2,,Yemen
392610 - Office or school supplies,,10.00,5.00,4,,4,,Yemen
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,5.00,10,,10,,Yemen
"392630 - Fittings for furniture, coachwork or the like",,10.00,0.00,2,,2,,Yemen
392640 - Statuettes and other ornamental articles,,10.00,0.00,13,,13,,Yemen
392690 - Other,,10.00,5.00,16,,16,,Yemen
,2015,,9.11,2.16,411,,411,,Yemen
